run,input_ok,input_flows,flows,final_drained,elapsed_s,mean_fct_ms,median_fct_ms,p90_fct_ms,max_fct_ms,mean_slowdown,max_slowdown,pfc_events,pfc_queues,bottleneck,bottleneck_max_kb,bottleneck_ratio,qlen_max_port,qlen_max_kb,qlen_p99_kb,trace_records,validation_ok,warnings
dcqcn_fb_30,True,995249,995249,True,,0.0411696957917064,0.01289,0.05652,8.912704,1.6305617994869988,59.22623260202878,0,0,n/a,,,sw327/p14,3057,508,,False,1
hpcc_fb_30,True,995249,996506,True,3229.9395,7.405046415440549,0.01247,0.0673475,155.539452,480.1455184482671,10108.497562877754,0,0,n/a,,,sw338/p9,547,547,0,False,2
hpcc_ws_30,True,69635,29099,False,,0.3127524577476889,0.024267,0.9069878000000002,14.029527,1.5695413470310153,15.97516600434214,0,0,n/a,,,sw320/p1,0,0,,False,3
hpcc_ws_50-1,True,117068,107480,False,,66.28625207093413,10.267382000000001,238.8900483000002,659.444746,984.8326802000437,20817.504752340305,18370177,521,n/a,,,sw354/p1,24344,19493,,False,4
